navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Olympia;Olympia  CM;;CM 898;;ORIGINAL Citizen 3000101 / IR 91 B - Ruban nylon noir;;;;IR 91 B;null;3000101;8537;5011
Sagem;Sagem  Quadrige;;Quadrige Q 5000 N;;null;;;;null;null;null;11693;#N/A
Brother;Brother  HL;;HL-5150 D;;COMPATIBLE Brother TN3060 - Toner noir;;;;TN-3060;null;6700;489;4718
Samsung;Samsung  CLX;;CLX-8385 N;;ORIGINAL HP SU603A / CLX-R8385K - Kit tambour;;;;CLX-R8385K;null;SU 603 A;12013;5534
Canon;Canon  imageRUNNER;;imageRUNNER 2320;;COMPATIBLE Canon 0384B002 / C-EXV 14 - Toner noir;;;;C-EXV 14;null;0384 B 002;2856;4835
Samsung;Samsung  CLX;;CLX-3185;;COMPATIBLE Samsung CLTP4072CELS / P4072C - Toner MultiPack;;;;P4072C;null;CLT-P 4072 C/ELS;12014;5483
Omnifax;Omnifax  L;;L 42;;null;;;;null;null;null;8863;#N/A
Utax;Utax  C;;C 233;;null;;;;null;null;null;15472;#N/A
Ricoh;Ricoh  Aficio SP;;Aficio SP 5200 Series;;COMPATIBLE Ricoh 406685 - Toner noir;;;;406685;null;25000;10398;5314
Bull;Bull  PRT;;PRT 7242;;null;;;;null;null;null;1894;#N/A
Ricoh;Ricoh  Sp;;SP 4510 dn;;null;;;;null;null;null;10399;#N/A
Casio;Casio  SP;;SP 1100;;COMPATIBLE Epson C43S015366 / ERC-27-B - Ruban nylon noir;;;;ERC-27-B;null;C 43 S0 15366;6236;5013
Canon;Canon  imageRUNNER;;imageRUNNER 5020;;ORIGINAL Canon 4234A002 / C-EXV 1 - Toner noir;;;;C-EXV 1;null;4234 A 002;2857;4860
Xerox;Xerox  Docuprint P;;Docuprint P 1210;;ORIGINAL Xerox 106R00442 - Toner noir;;;;106 R 00442;null;6000;16171;5921
Triumph-Adler;Triumph-Adler  LP;;LP 4118;;ORIGINAL Utax 4411810010 - Toner noir;;;;4 411 810 010;null;6000;15144;5734
Canon;Canon  I;;I 550;;COMPATIBLE Canon 4479A002 / BCI-3 EBK - Cartouche d'encre noire;;;;BCI-3 EBK;null;4479 A 002;2858;4821
Canon;Canon  imageRUNNER;;imageRUNNER 1133;;COMPATIBLE Canon 3480B006 / C-EXV 40 - Toner noir;;;;C-EXV 40;null;3480 B 006;2859;4925
Canon;Canon  imageCLASS D;;ImageClass D 320;;COMPATIBLE Canon 7833A002 / CARTRIDGE T - Toner noir;;;;CARTRIDGE T;null;7833 A 002;2860;4936
OKI;OKI  C;;C 831 DM;;COMPATIBLE OKI 44844508 - Toner noir;;;;44844508;null;10000;6955;5089
Canon;Canon  Laser Class;;Laser Class 1050 p;;COMPATIBLE Canon 1557A003 / FX-3 - Toner noir;;;;FX-3;null;1557 A 003;2861;4824
Olympia;Olympia  Omega D;;Omega D 1500;;COMPATIBLE Kyocera 370PU5KW / TK-100 - Toner noir;;;;TK-100;null;370PU5KW;8538;5183
Samsung;Samsung  ML;;ML-1625;;COMPATIBLE Samsung ML1610D2ELS - Toner noir;;;;ML-1610 D2/ELS;null;3000;12015;5514
Samsung;Samsung  SCX;;SCX-3400;;COMPATIBLE Samsung MLTD101SELS / 101 - Toner noir;;;;101;null;MLT-D 101 S/ELS;12016;5479
Canon;Canon  imageRUNNER;;imageRUNNER 200 S;;ORIGINAL Canon 1388A002 - Toner noir;;;;1388 A 002;null;9600;2862;4807
Toshiba;Toshiba  TF;;TF 831;;null;;;;null;null;null;14582;#N/A
Sharp;Sharp  PC;;PC 1211;;null;;;;null;null;null;13335;#N/A
Ricoh;Ricoh  IM;;IM 600 Series;;ORIGINAL Ricoh 418478 - Toner noir;;;;418478;null;25500;10400;5377
Samsung;Samsung  ProXpress;;ProXpress M 3875 FW Premium Line;;Remanufacturé Samsung MLTD204LELS / 204 XL - Toner noir;;;;204L;null;MLT-D 204L/ELS;12017;5495
Toshiba;Toshiba  E-Studio;;E-Studio 2040 C SE;;ORIGINAL Toshiba 6AJ00000075 / T-FC 25 EK - Toner noir;;;;T-FC 25 EK;null;6AJ00000075;14738;5676
Triumph-Adler;Triumph-Adler  JPR;;JPR 7830 C;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;15145;4691
Xerox;Xerox  Phaser;;Phaser 6022;;COMPATIBLE Xerox 106R02759 - Toner noir;;;;106 R 02759;null;2000;16172;5876
Canon;Canon  imageRUNNER;;imageRUNNER 2000;;ORIGINAL Canon 6836A002 / C-EXV 5 - Toner noir;;;;C-EXV 5;null;6836 A 002;2863;4833
Xerox;Xerox  WorkCentre;;WorkCentre 5222 Kuse;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16173;5841
Sharp;Sharp  AR-M;;AR-M 450 N;;ORIGINAL Sharp AR450LT - Toner noir;;;;AR-450 LT;null;27000;13336;5574
Canon;Canon  FC;;FC 288;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;2864;4829
Philips;Philips  P;;P 2000-2123;;ORIGINAL Epson C13S015021 / 7753 ( Alt. C13S015633) - Ruban nylon noir;;;;7753;null;C 13 S0 15021;9567;4791
Canon;Canon  i-SENSYS;;i-SENSYS LBP-7100 Series;;COMPATIBLE Canon 6273B002 / 731H - Toner noir;;;;731H;null;6273 B 002;2865;4827
Samsung;Samsung  ER;;ER 4600 Series;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;12018;5012
Citizen;Citizen  IDP;;IDP 3551;;ORIGINAL Citizen 3000098 / IR 61 B - Ruban nylon noir;;;;IR 61 B;null;3000098;6460;5017
Samsung;Samsung  ML;;ML-3710 N;;COMPATIBLE Samsung MLTD205LELS / 205L - Toner noir;;;;205L;null;MLT-D 205 L/ELS;12019;5502
Ricoh;Ricoh  Aficio;;Aficio 1015;;ORIGINAL Ricoh 888087 / TYPE 1220 D - Toner noir;;;;TYPE 1220 D;null;888087;10401;5388
Canon;Canon  Pixma;;Pixma MG 3255;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;2866;4848
Adler-Royal;Adler-Royal  SE;;SE 802;;null;;;;null;null;null;30;#N/A
Sagem;Sagem  Fax;;Fax 4565;;null;;;;null;null;null;11694;#N/A
Brother;Brother  DCP;;DCP-9045 CN;;COMPATIBLE Brother DR130CL - Kit tambour;;;;DR-130 CL;null;17000;490;4762
Ricoh;Ricoh  Aficio SP;;Aficio SP 277 SFNwX;;COMPATIBLE Ricoh 408160 / TYPE SP 277 HE - Toner noir;;;;TYPE SP 277 HE;null;408160;10402;5327
Sharp;Sharp  MX;;MX-M 260;;ORIGINAL Sharp MX312GT - Toner noir;;;;MX-312 GT;null;25000;13337;5598
Olivetti;Olivetti  HD;;HD 6000;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;7830;4684
Samsung;Samsung  CLX;;CLX-8385 ND;;ORIGINAL HP SU603A / CLX-R8385K - Kit tambour;;;;CLX-R8385K;null;SU 603 A;12020;5534
Xerox;Xerox  WorkCentre;;WorkCentre 5222 Kusey;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16174;5841
OKI;OKI  MC;;MC 352 DN;;COMPATIBLE OKI 44469803 - Toner noir;;;;44469803;null;3500;6956;5115
Brother;Brother  Fax;;Fax 1030 P;;COMPATIBLE Brother PC202RF - Rouleau transfert thermique;;;;PC-202 RF;null;420;491;4739
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 600;;COMPATIBLE Canon 0895B001 / PFI-102 BK - Cartouche d'encre noire;;;;PFI-102 BK;null;0895 B 001;2867;4820
Xerox;Xerox  WorkCentre;;WorkCentre 5222 KTU;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16175;5841
Canon;Canon  IR;;IR Pro 125 VP;;null;;;;null;null;null;2868;#N/A
Philips;Philips  P;;P 2122;;ORIGINAL Epson C13S015021 / 7753 ( Alt. C13S015633) - Ruban nylon noir;;;;7753;null;C 13 S0 15021;9568;4791
Xerox;Xerox  Phaser;;Phaser 8560 DX;;ORIGINAL Xerox 108R00726 - Encre solide en Color-Stix;;;;108 R 00726;null;3400;16176;5908
Canon;Canon  NP;;NP 4330;;null;;;;null;null;null;2869;#N/A
Samsung;Samsung  SCX;;SCX-5312 F;;ORIGINAL Samsung SCX5312D6ELS - Toner noir;;;;SCX-5312 D6/ELS;null;6000;12021;5522
Samsung;Samsung  Xpress;;Xpress M 2070 Series;;PROMO Pack de 3 toners PREMIUM compatibles SAMSUNG MLTD111L / 111L;;;;NT-PS2020XC;null;D111L / SU799A;12022;5489
Canon;Canon  i-SENSYS;;I-Sensys LBP-4 i;;null;;;;null;null;null;2870;#N/A
Seiko Precision;Seiko Precision  M;;M 42 T;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;13072;4873
Brother;Brother  P-Touch;;P-Touch QL 820 Series;;COMPATIBLE Brother DK22205 - P-Touch Étiquettes;;;;DK-22205;null;Non;492;4735
Xerox;Xerox  Phaser;;Phaser 5335;;ORIGINAL Xerox 113R00737 - Toner noir;;;;113 R 00737;null;10000;16177;5922
Ricoh;Ricoh  Aficio MP;;Aficio MP 3554 Series;;Ricoh Toner Laser MP3554 Noir (842348) (842125) (841994) (841993);;;;842125;null;24000;10403;5310
Sindoh;Sindoh  Aficio;;Aficio 2232 C;;null;;;;null;null;null;11525;#N/A
OKI;OKI  ML;;ML 5100 FB eco;;ORIGINAL OKI 43821103 - Ruban nylon noir;;;;43821103;null;Oui;6957;5101
Xerox;Xerox  WorkCentre;;WorkCentre 7425 FX;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;16178;5845
Triumph-Adler;Triumph-Adler  TA;;TA 2050;;null;;;;null;null;null;15146;#N/A
Ricoh;Ricoh  MP C;;MP C 4504 A SP;;Ricoh Tambour Unit Noir (D2392242) (Alt: D2392241, D2392240);;;;D2392242;null;400000;10404;5354
Canon;Canon  imageCLASS MF;;ImageClass MF 4720 w;;COMPATIBLE Canon 3500B002 / 728 - Toner noir;;;;728;null;3500 B 002;2871;4806
Savin;Savin  Savinfax;;Savinfax 3750 NF;;ORIGINAL Ricoh 430351 / TYPE 1260 D - Toner noir;;;;TYPE 1260 D;null;430351;12993;5303
Sharp;Sharp  AR;;AR-152 EN;;ORIGINAL Sharp AR168LT - Toner noir;;;;AR-168 LT;null;8000;13338;5567
Samsung;Samsung  SCX;;SCX-4200;;COMPATIBLE Samsung SCXD4200AELS - Toner noir;;;;SCX-D 4200 A/ELS;null;3000;12023;5521
Casio;Casio  DR;;DR 1520;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6237;4684
Canon;Canon  FC;;FC 325;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;2872;4829
Canon;Canon  imageRUNNER;;imageRUNNER Advance 500 Series;;ORIGINAL Canon 2788B002 / C-EXV 43 - Toner noir;;;;C-EXV 43;null;2788 B 002;2873;4948
Savin;Savin  Savinfax;;Savinfax 3720;;Ricoh Toner Laser Type 1435 (430244) (430291) (430261) Infotec 36 4,5k;;;;TYPE 1435 D;null;430244;12994;5415
Canon;Canon  Pixma;;Pixma TS 8220;;PROMO PARK de 6 COMPATIBLES Canon PGI-580XXL+ 581 XXL (Bk+C+M+Y+PB);;;;580XXL/ 581XXL;null;580-581;2874;4843
Brother;Brother  P-Touch;;P-Touch QL 1050;;COMPATIBLE Brother DK22205 - P-Touch Étiquettes;;;;DK-22205;null;Non;493;4735
Canon;Canon  GP;;GP 211 f;;ORIGINAL Canon 1388A002 - Toner noir;;;;1388 A 002;null;9600;2875;4807
Canon;Canon  Pixma;;Pixma MX 892;;Pack de 5 GENERIQUES CANON PGI-525+526BKCMY;;;;PGI-525+CLI-526 BKCMY;null;4540 B 006;2876;4851
Canon;Canon  Color Imagerunner;;Color Imagerunner C 5185 i;;ORIGINAL Canon 0262B002 / C-EXV 17 - Toner noir;;;;C-EXV 17;null;0262 B 002;2877;4882
Olympia;Olympia  PD;;PD 12;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;8539;4684
Sharp;Sharp  AR;;AR-350 LP;;ORIGINAL Sharp AR450LT - Toner noir;;;;AR-450 LT;null;27000;13339;5574
Panasonic;Panasonic  KX-FM;;KX-FM 255;;Pack de 2 COMPATIBLES Panasonic KXFA136X - Rouleau transfert thermique;;;;KX-FA 136 X;null;336;9025;5230
Canon;Canon  CLC;;CLC 800 S;;ORIGINAL Canon FY97006020 - Collecteurs de toner;;;;FY 9-7006-020;null;Oui;2878;4931
Canon;Canon  i-SENSYS;;i-SENSYS LBP-2000;;COMPATIBLE Canon 6751A003 / EP-65 - Toner noir;;;;EP-65;null;6751 A 003;2879;4858
Canon;Canon  i-SENSYS;;i-SENSYS MF 515 x;;COMPATIBLE Canon 3482B002 / 724H - Toner noir;;;;724H;null;3482 B 002;2880;4830
Brother;Brother  Whisperwriter;;Whisperwriter WP 7000 Series;;COMPATIBLE Canon 0881A002 / BC-02 - Tête d'impression noire;;;;BC-02;null;0881 A 002;494;4706
CPF;CPF  NP;;NP 6621;;null;;;;null;null;null;4112;#N/A
Olympia;Olympia  Competence;;Competence MD;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8540;5206
Samsung;Samsung  ProXpress;;ProXpress M 4020 D;;COMPATIBLE Samsung MLTD203LELS / 203L - Toner noir;;;;203L;null;MLT-D 203 L/ELS;12024;5494
Sharp;Sharp  DX-C;;DX-C 310;;ORIGINAL Sharp MXC38GRS - Kit tambour;;;;MXC-38 GRS;null;30000;13340;5569
Utax;Utax  CD;;CD 5230;;ORIGINAL Utax 613011110 - Toner noir;;;;613 011 110;null;3000;15473;5773
OCE;OCE  VP;;VP 2000 Series;;ORIGINAL OCE 25001848 / TYPE F3 - Toner noir;;;;TYPE F3;null;250.01.848;6712;5044
Brother;Brother  DCP;;DCP-L 2512 D;;COMPATIBLE Brother DR2400 - Kit tambour;;;;DR-2400;null;12000;495;4716
Sharp;Sharp  FO;;FO-P 600;;ORIGINAL Sharp UX91CR - Film transfert thermique;;;;UX-91 CR;null;90;13341;5558
Triumph-Adler;Triumph-Adler  DCC;;DCC 2950;;ORIGINAL Utax 654510010 - Toner noir;;;;654 510 010;null;30000;15147;5743
Ricoh;Ricoh  Aficio AP;;Aficio AP 2600 Series;;ORIGINAL Ricoh 400760 / TYPE 215 - Toner noir;;;;TYPE 215;null;400760;10405;5389
Ricoh;Ricoh  Aficio MP;;Aficio MP 171 Ln;;COMPATIBLE Ricoh 888261 / TYPE 1270 D - Toner noir;;;;TYPE 1270 D;null;888261;10406;5332
Canon;Canon  IR;;IR-ADV C 475 i III;;ORIGINAL Canon 2980C001 / T04BK - Toner noir;;;;T04BK;null;2980 C 001;2881;4849
Brother;Brother  LW;;LW 730 I;;COMPATIBLE Lexmark 13400HCE - Tête d'impression noire;;;;13400HCE;null;Non;496;4696
Samsung;Samsung  ML;;ML-1520;;null;;;;null;null;null;12025;#N/A
Xerox;Xerox  Phaser;;Phaser 3124 V;;COMPATIBLE Xerox 106R01159 - Toner noir;;;;106 R 01159;null;3000;16179;5875
Panasonic;Panasonic  UF;;UF 788;;ORIGINAL Panasonic FX132P / XR 261 P - Encre à tampon;;;;XR 261 P;null;FX-132 P;9026;5247
Brother;Brother  HR;;HR 1525;;COMPATIBLE Brother 7020 - Encreur correcteur;;;;7020;null;Non;497;4717
Samsung;Samsung  CLP;;CLP-680 Series;;COMPATIBLE Samsung CLTK506LELS / K506L - Toner noir;;;;K506L;null;CLT-K 506 L/ELS;12026;5477
Toshiba;Toshiba  E-Studio;;E-Studio 6540 C;;ORIGINAL Toshiba 6LJ10690300 / D-FC 65 K - Développeur;;;;D-FC 65 K;null;6LJ10690300;14739;5669
Toshiba;Toshiba  E-Studio;;E-Studio 4515 AC;;ORIGINAL Toshiba 6AJ00000175 / T-FC 415 EK - Toner noir;;;;T-FC 415 EK;null;6AJ00000175;14740;5683
Samsung;Samsung  CLX;;CLX-9252 NA;;ORIGINAL HP SS577A / CLT-K6062S - Toner noir;;;;CLT-K6062S;null;SS 577 A;12027;5507
Olympia;Olympia  NP;;NP 80;;ORIGINAL Epson C13S015021 / 7753 ( Alt. C13S015633) - Ruban nylon noir;;;;7753;null;C 13 S0 15021;8541;4791
Xerox;Xerox  VersaLink;;VersaLink C 600 DN;;COMPATIBLE Xerox 106R03907 - Toner noir;;;;106 R 03907;null;12200;16180;5893
Pitney Bowes;Pitney Bowes  C;;C 355;;ORIGINAL Panasonic FQZK20 - Développeur;;;;FQ-ZK 20;null;120000;9766;5227
OKI;OKI  ML;;ML 390 Plus;;COMPATIBLE OKI 09002309 - Ruban nylon noir;;;;9002309;null;Non;6958;4794
Canon;Canon  CLC;;CLC 3200 Series;;ORIGINAL Canon 7629A002 / C-EXV 8 - Toner noir;;;;C-EXV 8;null;7629 A 002;2882;4944
Xerox;Xerox  WorkCentre;;WorkCentre 5222 KPF;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16181;5841
Sagem;Sagem  MF-Fax;;MF-Fax 3700 Series;;ORIGINAL Konica Minolta 4153101 / 1710398001 - Toner noir;;;;1710398001;null;4153-101;11695;5463
Brother;Brother  P-Touch;;P-Touch 2700 VP;;COMPATIBLE Brother TZE231 - P-Touch Ruban;;;;TZE-231;null;Non;498;4719
Canon;Canon  I;;I 250 Series;;COMPATIBLE Canon 6882A002 / BCI-24 C - Cartouche d'encre couleur;;;;BCI-24 C;null;6882 A 002;2883;4889
Ricoh;Ricoh  Sp;;SP 277 Series;;COMPATIBLE Ricoh 408160 / TYPE SP 277 HE - Toner noir;;;;TYPE SP 277 HE;null;408160;10407;5327
Ricoh;Ricoh  Aficio MP;;Aficio MP 3054;;Ricoh Toner Laser MP3554 Noir (842348) (842125) (841994) (841993);;;;842125;null;24000;10408;5310
Ricoh;Ricoh  Aficio;;Aficio 1515;;COMPATIBLE Ricoh 888261 / TYPE 1270 D - Toner noir;;;;TYPE 1270 D;null;888261;10409;5332
Samsung;Samsung  ProXpress;;ProXpress C 4060 FX;;ORIGINAL HP SU214A / CLT-K603L - Toner noir;;;;CLT-K603L;null;SU 214 A;12028;5520
Ricoh;Ricoh  Sp;;SP 330 Series;;ORIGINAL Ricoh 408281 / TYPE SP 330 H - Toner noir;;;;TYPE SP 330 H;null;408281;10410;5338
Brother;Brother  GX;;GX 9500;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;499;4733
Olivetti;Olivetti  U;;U 488;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;7831;4684
Sharp;Sharp  AL;;AL-2041;;ORIGINAL Sharp AL214TD - Toner noir;;;;AL-214 TD;null;4000;13342;5566
Xerox;Xerox  Phaser;;Phaser 4500 DT;;ORIGINAL Xerox 113R00656 - Toner noir;;;;113 R 00656;null;10000;16182;5862
Olivetti;Olivetti  PG;;PG L 2045;;null;;;;null;null;null;7832;#N/A
Canon;Canon  Pixma;;Pixma MG 6200 Series;;Pack de 5 GENERIQUES CANON PGI-525+526BKCMY;;;;PGI-525+CLI-526 BKCMY;null;4540 B 006;2884;4851
OKI;OKI  ES;;ES 9420 WT;;ORIGINAL OKI 42931616 - Kit de transfert;;;;42931616;null;50000;6959;5120
Olivetti;Olivetti  ETP;;ETP 550 Series;;null;;;;null;null;null;7833;#N/A
Sharp;Sharp  CS;;CS 1606;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13343;4684
Brother;Brother  MFC;;MFC-8810 DW;;COMPATIBLE Brother DR3300 - Kit tambour;;;;DR-3300;null;30000;500;4723
Xerox;Xerox  WC;;WC 7235 R;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;16183;5839
Sharp;Sharp  MX;;MX-M 503 N;;ORIGINAL Sharp MX500NT - Toner noir;;;;MX-500 NT;null;40000;13344;5575
Xerox;Xerox  Phaser;;Phaser 6100;;COMPATIBLE Xerox 106R00684 - Toner noir;;;;106 R 00684;null;7000;16184;5923
CPF;CPF  NP;;NP 4300 Series;;null;;;;null;null;null;4038;#N/A
Canon;Canon  IR;;IR Advance 6555 i;;ORIGINAL Canon 3766B002 / C-EXV 36 - Toner noir;;;;C-EXV 36;null;3766 B 002;2885;4817
Citizen;Citizen  CX;;CX 32 N;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6461;4873
C.Itoh;C.Itoh  CI;;CI 1000 CX;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;2027;4682
Canon;Canon  Pixma;;Pixma TS 6300 Series;;PACK de 5 COMPATIBLES Canon PGI-580XXL+ 581 XXL (Bk+C+M+Y);;;;580XXL / 581 XXL;null;1998 C 005;2886;4895
Olivetti;Olivetti  JP;;JP 192 SC;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;7834;4691
Wincor-Nixdorf;Wincor-Nixdorf  ND;;ND 06;;ORIGINAL Wincor-Nixdorf 01750008721 / 106 000 14620 - Ruban nylon violet;;;;10 600 014 620;null;1750008721;15719;5811
Canon;Canon  imageCLASS MF;;ImageClass MF 240 Series;;PROMO Pack de 4 toners Compatible Canon 9435B002/ 737;;;;NT-PH283XCU;null;737;2887;4800
Triumph-Adler;Triumph-Adler  FX;;FX 730 LPC;;ORIGINAL Kyocera 35382010 - Toner noir;;;;35382010;null;3000;15148;5179
Ricoh;Ricoh  Aficio Color;;Aficio Color 6510;;ORIGINAL Ricoh 887890 / TYPE L 1 - Toner noir;;;;TYPE L 1;null;887890;10411;5292
Xerox;Xerox  WorkCentre;;WorkCentre 6500 Series;;COMPATIBLE Xerox 106R01597 - Toner noir;;;;106 R 01597;null;3000;16185;5924
Samsung;Samsung  CLX;;CLX-4195 N Premium Line;;COMPATIBLE Samsung CLTK504SELS / K504 - Toner noir;;;;K504;null;CLT-K 504 S/ELS;12029;5506
Xerox;Xerox  WC;;WC 7428 Series;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;16186;5845
Utax;Utax  P;;P-4030 MFP;;null;;;;null;null;null;15474;#N/A
Utax;Utax  P;;P 600/2;;COMPATIBLE OKI 09002303 - Ruban nylon noir;;;;9002303;null;Non;15475;4792
Brother;Brother  MFC-J;;MFC-J 435 W;;PACK de 5 COMPATIBLES Brother LC1240;;;;LC-1240 VAL BP;null;Non;501;4751
Ricoh;Ricoh  Aficio MP;;Aficio MP 2851 b;;Ricoh Toner Type MP3353 (842042) (Alt: TYP2220D, 885266, DT43);;;;TYPE 2220 D;null;842042;10412;5288
Philips;Philips  Magic;;Magic 2 Primo;;COMPATIBLE Philips PFA322 / 906115306011 - Rouleau transfert thermique;;;;9,06E+11;null;PFA-322;9569;#N/A
Sharp;Sharp  AR-C;;AR-C 200 P;;COMPATIBLE OKI 41963008 - Toner noir;;;;41963008;null;10000;13345;5085
Sharp;Sharp  AL;;AL-1621;;ORIGINAL Sharp AL161TD - Toner noir;;;;AL-161 TD;null;9000;13346;5590
Xerox;Xerox  Phaser;;Phaser 6100 V DN;;COMPATIBLE Xerox 106R00684 - Toner noir;;;;106 R 00684;null;7000;16187;5923
Ricoh;Ricoh  Aficio MP;;Aficio MP 3054 ZSP;;Ricoh Toner Laser MP3554 Noir (842348) (842125) (841994) (841993);;;;842125;null;24000;10413;5310
Canon;Canon  imageRUNNER;;imageRUNNER 2202 N;;ORIGINAL Canon 6908B002 / C-EXV 42 - Divers;;;;C-EXV 42;null;6908 B 002;2888;4935
Unisys;Unisys  UDS;;UDS 144;;COMPATIBLE Lexmark 12A7462 - Toner noir;;;;12A7462;null;21000;15341;5790
Brother;Brother  MFC;;MFC-6650;;ORIGINAL Brother TN200 - Toner noir;;;;TN-200;null;2200;502;4727
OKI;OKI  C;;C 9400 Series;;COMPATIBLE OKI 41515210 - Toner magenta;;;;41515210;null;15000;6960;5064
Canon;Canon  IR;;IR 600;;ORIGINAL Canon 1390A002 / GPR-1 - Toner noir;;;;GPR-1;null;1390 A 002;2889;4965
Xerox;Xerox  WC;;WC 7125 T;;ORIGINAL Xerox 006R01457 - Toner noir;;;;006 R 01457;null;22000;16188;5897
Brother;Brother  MFC-J;;MFC-J 5930 DW;;PROMO Pack de 4 cartouches compatibles Brother LC3219XLVALDR;;;;LC-3219 XL VAL DR;null;Non;503;4754
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 500;;COMPATIBLE Canon 0895B001 / PFI-102 BK - Cartouche d'encre noire;;;;PFI-102 BK;null;0895 B 001;2890;4820
Ricoh;Ricoh  MP C;;MP C 4504 SP;;null;;;;null;null;null;10414;#N/A
Sharp;Sharp  ER;;ER 4110 S External PTR;;ORIGINAL Epson C43S015426 / ERC-11-B - Ruban nylon noir;;;;ERC-11-B;null;C 43 S0 15426;13347;5555
Olympia;Olympia  ESW;;ESW 2000 C;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8542;5206
Sharp;Sharp  ER;;ER 1565 S;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13348;4684
Ricoh;Ricoh  Pro;;Pro 907 ex;;null;;;;null;null;null;10415;#N/A
Olympia;Olympia  CPD;;CPD 8514;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;8543;4684
Unisys;Unisys  UDS;;UDS 134;;ORIGINAL Lexmark 12A6765 - Toner noir;;;;12A6765;null;30000;15342;5456
Toshiba;Toshiba  BC;;BC 1275 PV;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;14741;4684
Xerox;Xerox  Document Centre;;Document Centre 470;;ORIGINAL Xerox 013R00603 - Kit tambour;;;;013 R 00603;null;200000;16189;5849
Sharp;Sharp  AR-M;;AR-M 355 N;;ORIGINAL Sharp AR455LT - Toner noir;;;;AR-455 LT;null;35000;13349;5165
Sharp;Sharp  AR;;AR-5300 Series;;ORIGINAL Sharp AR016LT - Toner noir;;;;AR-016 LT;null;16000;13350;5599
Telekom;Telekom  T-Fax;;T-Fax 5830;;Pack de 10 Cartouches COMPATIBLES CANON (5xBCI21BK/24BK + 5xBCI21CL/24CL);;;;NC-00024BK/21BK;null;BCI21/BCI24;14588;4801
Olivetti;Olivetti  D-Color;;D-Color MF 283;;ORIGINAL Olivetti B1194 - Toner noir;;;;B1194;null;24000;7835;5175
Xante;Xante  Accel-A-Writer;;Accel-A-Writer 3;;ORIGINAL IBM 90H0751 - Unité de fusión;;;;90 H 0751;null;2000;15816;4711
Alps;Alps  P;;P 2000 G;;ORIGINAL Epson C13S015022 / 7754 - Ruban nylon noir;;;;7754;null;C 13 S0 15022;111;4703
Sharp;Sharp  MX;;MX-M 4070;;ORIGINAL Sharp MX560GT - Toner noir;;;;MX-560 GT;null;40000;13351;5570
Samsung;Samsung  MultiXpress;;MultiXpress C 9201;;COMPATIBLE Samsung CLTC809SELS / C809 - Toner cyan;;;;C809;null;CLT-C 809 S/ELS;12030;5492
Printronix;Printronix  P;;P 6080;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;9871;4682
